eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic
831630,ISC,ISC|ISC-mb,1967,9,24,22,27,44.6,0.83,9.39,45.75,7.745,8.8,90.0,0.0,,5.03,0.29,,1823465|ISC|4.70|mb
830122,ISC,ISC|ISC-mb,1967,10,8,15,27,15.0,1.9,7.1,46.5,29.03,17.8,90.0,0.0,,4.77,0.29,,1820878|ISC|4.40|mb
824073,ISC,ISC|ISC-mb,1968,4,18,19,38,18.0,1.8,8.07,44.31,5.954,8.0,90.0,8.0,12.0,4.43,0.29,,1810867|USCGS|4.10|mb,1810869|ISC|4.00|mb
824320,ISC,ISC|ISC-mb,1968,4,25,18,27,41.4,0.75,9.83,46.46,6.579,8.0,90.0,41.0,19.0,4.51,0.29,,1811257|ISC|4.10|mb
820549,ISC,ISC|ISC-mb,1968,6,17,9,29,57.0,2.7,8.5,44.1,27.8,15.94,,0.0,,4.34,0.29,,1804945|ISC|3.90|mb
820618,ISC,ISC|ISC-mb,1968,6,18,5,27,33.2,0.97,7.96,45.73,3.253,3.4,90.0,1.0,6.6,5.03,0.29,,1805067|USCGS|4.70|mb,1805069|ISC|4.70|mb
821305,ISC,ISC|ISC-mb,1968,6,27,15,43,41.2,0.75,6.9,46.19,8.453,7.5,90.0,38.0,17.0,4.43,0.29,,1806277|USCGS|4.10|mb,1806278|ISC|4.00|mb
818143,ISC,ISC|ISC-mb,1968,8,19,0,36,43.1,0.43,6.73,46.34,5.136,4.7,90.0,33.0,,4.68,0.29,,1800558|USCGS|4.30|mb,1800559|ISC|4.30|mb
812585,ISC,ISC|ISC-mb,1969,2,26,1,28,2.6,0.37,9.06,48.38,4.058,4.4,90.0,27.0,,4.77,0.29,,1790289|STU|4.70|UK,1790290|USCGS|4.40|mb,1790292|ISC|4.40|mb
803231,ISC,ISC|ISC-mb,1969,10,9,3,31,36.4,0.99,7.4,44.95,9.427,10.2,90.0,33.0,,4.43,0.29,,1773488|USCGS|4.20|mb,1773489|ISC|4.00|mb
802622,ISC,ISC|ISC-mb,1969,11,24,10,51,50.1,0.78,-0.7,43.48,10.47,8.3,90.0,0.0,,4.43,0.29,,1772426|ISC|4.00|mb
799945,ISC,ISC|ISC-mb,1970,1,10,12,9,39.0,2.5,4.9,50.9,24.5,32.2,90.0,0.0,,5.11,0.29,,1767634|ISC|4.80|mb
800306,ISC,ISC|ISC-mb,1970,1,22,15,25,17.3,0.33,8.98,48.43,3.683,4.1,90.0,16.0,,4.85,0.29,,1768309|MOS|5.00|MS,1768310|USCGS|4.50|mb,1768312|ISC|4.50|mb
798019,ISC,ISC|ISC-mb,1970,3,14,15,48,11.7,0.74,1.9,42.43,11.47,9.8,90.0,33.0,,4.6,0.29,,1763957|MDD|4.80|UK,1763958|USCGS|4.30|mb,1763959|ISC|4.20|mb
798271,ISC,ISC|ISC-mb,1970,3,21,20,40,19.2,0.49,8.97,48.27,4.4,5.9,90.0,14.0,,4.43,0.29,,1764406|USCGS|4.10|mb,1764407|ISC|4.00|mb
796316,ISC,ISC|ISC-mb,1970,4,5,6,49,59.0,2.1,1.2,42.7,35.89,33.3,90.0,0.0,,4.68,0.29,,1760706|ISC|4.30|mb
796158,ISC,ISC|ISC-mb,1970,5,31,8,11,26.7,0.78,9.04,48.33,3.324,4.7,90.0,1.0,6.9,4.43,0.29,,1760401|USCGS|3.90|mb,1760402|ISC|4.00|mb
794685,ISC,ISC|ISC-mb,1970,6,18,9,3,0.2,0.39,7.42,40.95,3.943,4.3,90.0,0.0,,5.03,0.29,,1757689|ISC|4.70|mb
793926,ISC,ISC|ISC-mb,1970,7,21,11,24,35.5,0.28,7.53,46.69,2.895,3.1,90.0,0.0,,4.77,0.29,,1756241|ISC|4.40|mb
794060,ISC,ISC|ISC-mb,1970,7,27,12,9,0.0,2.5,6.6,46.8,22.8,26.6,90.0,0.0,,4.6,0.29,,1756487|ISC|4.20|mb
792710,ISC,ISC|ISC-mb,1970,8,9,20,9,0.3,0.5,-2.24,54.45,4.773,4.4,90.0,34.0,8.8,4.34,0.29,,1753948|USCGS|4.00|mb,1753949|ISC|3.90|mb
792968,ISC,ISC|ISC-mb,1970,8,18,4,25,32.0,2.5,7.5,46.37,9.957,9.1,90.0,5.0,19.0,4.6,0.29,,1754458|ISC|4.20|mb
789641,ISC,ISC|ISC-mb,1970,12,30,2,20,5.9,0.57,8.19,44.25,4.455,6.0,90.0,33.0,,4.34,0.29,,1748053|USCGS|4.00|mb,1748054|ISC|3.90|mb
789693,ISC,ISC|ISC-mb,1970,12,31,22,4,46.5,0.44,8.32,44.21,4.5,3.104,,33.0,,4.43,0.29,,1748167|USCGS|4.10|mb,1748168|ISC|4.00|mb
783641,ISC,ISC|ISC-mb,1971,6,21,7,25,28.85,0.35,5.7462,46.427,3.308,4.0,90.0,6.0,,4.77,0.29,,1735546|NEIS|4.50|mb,1735547|BCIS|4.90|UK,1735548|ISC|4.40|mb
780594,ISC,ISC|ISC-mb,1971,9,25,10,34,2.4,2.05,8.6521,44.1113,3.6,2.6,,2.0,14.5,4.43,0.29,,1729011|NEIS|4.10|mb,1729012|BCIS|4.20|UK,1729013|ISC|4.00|mb
780705,ISC,ISC|ISC-mb,1971,9,29,7,18,51.68,0.24,9.0336,47.1124,2.185,2.7,90.0,24.0,,4.77,0.29,,1729258|NEIS|4.50|mb,1729259|BCIS|5.10|UK,1729260|ISC|4.40|mb
776988,ISC,ISC|ISC-mb,1972,1,17,12,8,6.05,0.92,8.1782,44.1528,6.651,8.5,90.0,0.0,,4.34,0.29,,1721400|ISC|3.90|mb
