Distance (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,6.50
PGA
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
50.0100,49.0000,49.0000,49.0000,49.2544,0.04987603,0.02660835,0.03499900,0.06129666,0.04874544,0.05429920
50.9902,50.0000,50.0000,50.0000,50.2494,0.04881017,0.02595586,0.03411339,0.06008250,0.04757413,0.05304289
51.9711,51.0000,51.0000,51.0000,51.2445,0.04778658,0.02533129,0.03326633,0.05890228,0.04645157,0.05183153
52.9528,52.0000,52.0000,52.0000,52.2398,0.04680285,0.02473298,0.03245549,0.05775457,0.04537478,0.05066285
53.9351,53.0000,53.0000,53.0000,53.2353,0.04585675,0.02415937,0.03167869,0.05663801,0.04434103,0.04953473
54.9181,54.0000,54.0000,54.0000,54.2310,0.04494622,0.02360904,0.03093395,0.05555135,0.04334777,0.04844515
55.9017,55.0000,55.0000,55.0000,55.2268,0.04406934,0.02308065,0.03021941,0.05449338,0.04239265,0.04739226
56.8859,56.0000,56.0000,56.0000,56.2228,0.04322431,0.02257296,0.02953336,0.05346298,0.04147349,0.04637432
57.8705,57.0000,57.0000,57.0000,57.2189,0.04240948,0.02208485,0.02887421,0.05245910,0.04058827,0.04538967
58.8558,58.0000,58.0000,58.0000,58.2151,0.04162329,0.02161524,0.02824047,0.05148072,0.03973510,0.04443678
59.8415,59.0000,59.0000,59.0000,59.2115,0.04086429,0.02116316,0.02763079,0.05052689,0.03891225,0.04351421
60.8276,60.0000,60.0000,60.0000,60.2080,0.04013112,0.02072766,0.02704388,0.04959673,0.03811807,0.04262059
61.8142,61.0000,61.0000,61.0000,61.2046,0.03942252,0.02030790,0.02647854,0.04868937,0.03735106,0.04175463
62.8013,62.0000,62.0000,62.0000,62.2013,0.03873729,0.01990308,0.02593366,0.04780401,0.03660981,0.04091514
63.7887,63.0000,63.0000,63.0000,63.1981,0.03807433,0.01951244,0.02540821,0.04693988,0.03589298,0.04010096
64.7765,64.0000,64.0000,64.0000,64.1950,0.03743259,0.01913528,0.02490120,0.04609625,0.03519936,0.03931103
65.7647,65.0000,65.0000,65.0000,65.1920,0.03681109,0.01877094,0.02441174,0.04527242,0.03452779,0.03854434
66.7533,66.0000,66.0000,66.0000,66.1891,0.03620891,0.01841881,0.02393896,0.04446775,0.03387719,0.03779991
67.7422,67.0000,67.0000,67.0000,67.1863,0.03562517,0.01807831,0.02348207,0.04368159,0.03324656,0.03707684
68.7314,68.0000,68.0000,68.0000,68.1836,0.03505906,0.01774890,0.02304031,0.04291334,0.03263494,0.03637426
69.7209,69.0000,69.0000,69.0000,69.1809,0.03450982,0.01743006,0.02261298,0.04216244,0.03204145,0.03569138
70.7107,70.0000,70.0000,70.0000,70.1783,0.03397670,0.01712131,0.02219942,0.04142834,0.03146526,0.03502740
71.7008,71.0000,71.0000,71.0000,71.1758,0.03345903,0.01682220,0.02179900,0.04071051,0.03090558,0.03438160
72.6911,72.0000,72.0000,72.0000,72.1734,0.03295616,0.01653231,0.02141114,0.04000846,0.03036168,0.03375328
73.6817,73.0000,73.0000,73.0000,73.1710,0.03246748,0.01625123,0.02103527,0.03932170,0.02983287,0.03314177
74.6726,74.0000,74.0000,74.0000,74.1687,0.03199240,0.01597859,0.02067088,0.03864978,0.02931850,0.03254646
75.6637,75.0000,75.0000,75.0000,75.1665,0.03153037,0.01571401,0.02031747,0.03799226,0.02881795,0.03196673
76.6551,76.0000,76.0000,76.0000,76.1643,0.03108088,0.01545718,0.01997457,0.03734871,0.02833064,0.03140203
77.6466,77.0000,77.0000,77.0000,77.1622,0.03064343,0.01520775,0.01964175,0.03671874,0.02785603,0.03085180
78.6384,78.0000,78.0000,78.0000,78.1601,0.03021755,0.01496544,0.01931858,0.03610196,0.02739359,0.03031554
79.6304,79.0000,79.0000,79.0000,79.1581,0.02980281,0.01472994,0.01900467,0.03549799,0.02694286,0.02979274
80.6226,80.0000,80.0000,80.0000,80.1561,0.02939876,0.01450100,0.01869965,0.03490647,0.02650335,0.02928294
81.6149,81.0000,81.0000,81.0000,81.1542,0.02900503,0.01427835,0.01840316,0.03432707,0.02607464,0.02878569
82.6075,82.0000,82.0000,82.0000,82.1523,0.02862121,0.01406174,0.01811486,0.03375945,0.02565631,0.02830056
83.6002,83.0000,83.0000,83.0000,83.1505,0.02824696,0.01385094,0.01783443,0.03320329,0.02524797,0.02782714
84.5931,84.0000,84.0000,84.0000,84.1487,0.02788192,0.01364574,0.01756158,0.03265828,0.02484925,0.02736504
85.5862,85.0000,85.0000,85.0000,85.1469,0.02752576,0.01344591,0.01729600,0.03212414,0.02445980,0.02691388
86.5794,86.0000,86.0000,86.0000,86.1452,0.02717817,0.01325126,0.01703743,0.03160057,0.02407928,0.02647330
87.5728,87.0000,87.0000,87.0000,87.1436,0.02683885,0.01306160,0.01678561,0.03108731,0.02370738,0.02604297
88.5664,88.0000,88.0000,88.0000,88.1419,0.02650751,0.01287675,0.01654028,0.03058407,0.02334379,0.02562255
89.5600,89.0000,89.0000,89.0000,89.1403,0.02618388,0.01269653,0.01630120,0.03009062,0.02298822,0.02521173
90.5539,90.0000,90.0000,90.0000,90.1388,0.02586770,0.01252077,0.01606817,0.02960671,0.02264041,0.02481021
91.5478,91.0000,91.0000,91.0000,91.1373,0.02555872,0.01234933,0.01584094,0.02913209,0.02230009,0.02441769
92.5419,92.0000,92.0000,92.0000,92.1358,0.02525670,0.01218205,0.01561933,0.02866653,0.02196702,0.02403390
93.5361,93.0000,93.0000,93.0000,93.1343,0.02496141,0.01201878,0.01540314,0.02820981,0.02164095,0.02365858
94.5304,94.0000,94.0000,94.0000,94.1329,0.02467263,0.01185939,0.01519217,0.02776172,0.02132167,0.02329146
95.5249,95.0000,95.0000,95.0000,95.1315,0.02439016,0.01170375,0.01498625,0.02732205,0.02100895,0.02293230
96.5194,96.0000,96.0000,96.0000,96.1301,0.02411379,0.01155172,0.01478521,0.02689060,0.02070259,0.02258086
97.5141,97.0000,97.0000,97.0000,97.1288,0.02384333,0.01140321,0.01458889,0.02646717,0.02040240,0.02223692
98.5089,98.0000,98.0000,98.0000,98.1275,0.02357860,0.01125807,0.01439712,0.02605157,0.02010818,0.02190025
99.5038,99.0000,99.0000,99.0000,99.1262,0.02331942,0.01111622,0.01420976,0.02564362,0.01981976,0.02157066
100.4988,100.0000,100.0000,100.0000,100.1249,0.02306561,0.01097753,0.01402666,0.02524314,0.01953696,0.02124792
101.4938,101.0000,101.0000,101.0000,101.1237,0.02281703,0.01084192,0.01384769,0.02484996,0.01925963,0.02093186
102.4890,102.0000,102.0000,102.0000,102.1225,0.02257350,0.01070928,0.01367271,0.02446391,0.01898759,0.02062228
103.4843,103.0000,103.0000,103.0000,103.1213,0.02233489,0.01057952,0.01350160,0.02408483,0.01872071,0.02031900
104.4797,104.0000,104.0000,104.0000,104.1201,0.02210104,0.01045255,0.01333424,0.02371257,0.01845883,0.02002184
105.4751,105.0000,105.0000,105.0000,105.1190,0.02187182,0.01032828,0.01317051,0.02334697,0.01820181,0.01973064
106.4707,106.0000,106.0000,106.0000,106.1179,0.02164709,0.01020664,0.01301030,0.02298789,0.01794953,0.01944524
107.4663,107.0000,107.0000,107.0000,107.1168,0.02142673,0.01008754,0.01285349,0.02263517,0.01770185,0.01916548
108.4620,108.0000,108.0000,108.0000,108.1157,0.02121061,0.00997091,0.01270000,0.02228869,0.01745865,0.01889121
109.4578,109.0000,109.0000,109.0000,109.1146,0.02099861,0.00985668,0.01254972,0.02194830,0.01721981,0.01862228
110.4536,110.0000,110.0000,110.0000,110.1136,0.02079062,0.00974477,0.01240254,0.02161387,0.01698521,0.01835855
111.4495,111.0000,111.0000,111.0000,111.1126,0.02058652,0.00963512,0.01225840,0.02128528,0.01675476,0.01809989
112.4455,112.0000,112.0000,112.0000,112.1116,0.02038621,0.00952766,0.01211718,0.02096240,0.01652833,0.01784616
113.4416,113.0000,113.0000,113.0000,113.1106,0.02018959,0.00942233,0.01197882,0.02064512,0.01630584,0.01759724
114.4378,114.0000,114.0000,114.0000,114.1096,0.01999656,0.00931907,0.01184322,0.02033330,0.01608717,0.01735301
115.4340,115.0000,115.0000,115.0000,115.1086,0.01980702,0.00921782,0.01171032,0.02002684,0.01587225,0.01711334
116.4302,116.0000,116.0000,116.0000,116.1077,0.01962088,0.00911853,0.01158002,0.01972563,0.01566096,0.01687813
117.4266,117.0000,117.0000,117.0000,117.1068,0.01943805,0.00902113,0.01145227,0.01942956,0.01545324,0.01664725
118.4230,118.0000,118.0000,118.0000,118.1059,0.01925845,0.00892559,0.01132698,0.01913852,0.01524898,0.01642061
119.4194,119.0000,119.0000,119.0000,119.1050,0.01908199,0.00883185,0.01120410,0.01885241,0.01504812,0.01619810
120.4159,120.0000,120.0000,120.0000,120.1041,0.01890858,0.00873986,0.01108356,0.01857112,0.01485056,0.01597962
121.4125,121.0000,121.0000,121.0000,121.1033,0.01873817,0.00864957,0.01096529,0.01829457,0.01465624,0.01576507
122.4091,122.0000,122.0000,122.0000,122.1024,0.01857066,0.00856094,0.01084923,0.01802266,0.01446509,0.01555435
123.4058,123.0000,123.0000,123.0000,123.1016,0.01840598,0.00847393,0.01073533,0.01775529,0.01427701,0.01534738
124.4026,124.0000,124.0000,124.0000,124.1008,0.01824407,0.00838849,0.01062352,0.01749237,0.01409196,0.01514407
125.3994,125.0000,125.0000,125.0000,125.1000,0.01808486,0.00830458,0.01051375,0.01723381,0.01390986,0.01494433
126.3962,126.0000,126.0000,126.0000,126.0992,0.01792829,0.00822217,0.01040598,0.01697954,0.01373065,0.01474807
127.3931,127.0000,127.0000,127.0000,127.0984,0.01777427,0.00814121,0.01030014,0.01672946,0.01355426,0.01455522
128.3900,128.0000,128.0000,128.0000,128.0976,0.01762277,0.00806167,0.01019619,0.01648349,0.01338063,0.01436569
129.3870,129.0000,129.0000,129.0000,129.0969,0.01747371,0.00798351,0.01009408,0.01624156,0.01320971,0.01417942
130.3840,130.0000,130.0000,130.0000,130.0961,0.01732705,0.00790670,0.00999377,0.01600358,0.01304143,0.01399633
131.3811,131.0000,131.0000,131.0000,131.0954,0.01718271,0.00783121,0.00989520,0.01576948,0.01287575,0.01381634
132.3782,132.0000,132.0000,132.0000,132.0947,0.01704066,0.00775700,0.00979834,0.01553919,0.01271260,0.01363938
133.3754,133.0000,133.0000,133.0000,133.0940,0.01690083,0.00768404,0.00970314,0.01531263,0.01255194,0.01346540
134.3726,134.0000,134.0000,134.0000,134.0933,0.01676317,0.00761231,0.00960957,0.01508974,0.01239371,0.01329431
135.3699,135.0000,135.0000,135.0000,135.0926,0.01662764,0.00754177,0.00951758,0.01487043,0.01223787,0.01312607
136.3672,136.0000,136.0000,136.0000,136.0919,0.01649419,0.00747239,0.00942714,0.01465465,0.01208436,0.01296060
137.3645,137.0000,137.0000,137.0000,137.0912,0.01636277,0.00740414,0.00933820,0.01444233,0.01193315,0.01279784
138.3618,138.0000,138.0000,138.0000,138.0906,0.01623333,0.00733701,0.00925074,0.01423341,0.01178418,0.01263775
139.3592,139.0000,139.0000,139.0000,139.0899,0.01610584,0.00727096,0.00916472,0.01402782,0.01163741,0.01248025
140.3567,140.0000,140.0000,140.0000,140.0893,0.01598024,0.00720597,0.00908010,0.01382550,0.01149280,0.01232530
141.3542,141.0000,141.0000,141.0000,141.0886,0.01585651,0.00714202,0.00899685,0.01362639,0.01135031,0.01217284
142.3517,142.0000,142.0000,142.0000,142.0880,0.01573459,0.00707908,0.00891494,0.01343043,0.01120989,0.01202282
143.3492,143.0000,143.0000,143.0000,143.0874,0.01561444,0.00701712,0.00883434,0.01323757,0.01107151,0.01187519
144.3468,144.0000,144.0000,144.0000,144.0868,0.01549604,0.00695613,0.00875503,0.01304774,0.01093513,0.01172989
145.3444,145.0000,145.0000,145.0000,145.0862,0.01537934,0.00689609,0.00867696,0.01286090,0.01080072,0.01158688
146.3421,146.0000,146.0000,146.0000,146.0856,0.01526431,0.00683697,0.00860011,0.01267698,0.01066823,0.01144612
147.3397,147.0000,147.0000,147.0000,147.0850,0.01515091,0.00677875,0.00852446,0.01249595,0.01053762,0.01130755
148.3375,148.0000,148.0000,148.0000,148.0844,0.01503911,0.00672142,0.00844998,0.01231774,0.01040888,0.01117113
149.3352,149.0000,149.0000,149.0000,149.0839,0.01492888,0.00666495,0.00837665,0.01214230,0.01028195,0.01103682
150.3330,150.0000,150.0000,150.0000,150.0833,0.01482018,0.00660932,0.00830443,0.01196959,0.01015681,0.01090458
====================================================
SA(0.2)
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
10.0000,0.0000,0.0000,0.0000,5.0000,0.79153175,0.68200808,0.84638821,1.09144933,0.93809606,0.65892496
10.0499,1.0000,1.0000,1.0000,5.0990,0.78529722,0.67671579,0.83636572,1.02913563,0.92848890,0.65378425
10.1980,2.0000,2.0000,2.0000,5.3852,0.76740389,0.66140887,0.80798173,0.90902447,0.90153308,0.63933524
10.4403,3.0000,3.0000,3.0000,5.8310,0.74001091,0.63764322,0.76558985,0.79887559,0.86180088,0.61796002
10.7703,4.0000,4.0000,4.0000,6.4031,0.70597452,0.60757337,0.71462519,0.71139882,0.81451756,0.59237625
11.1803,5.0000,5.0000,5.0000,7.0711,0.66815992,0.57350110,0.66010380,0.64276847,0.76406797,0.56486260
11.6619,6.0000,6.0000,6.0000,7.8102,0.62897626,0.53751441,0.60580897,0.58795037,0.71351605,0.53701513
12.2066,7.0000,7.0000,7.0000,8.6023,0.59019432,0.50128647,0.55415464,0.54316284,0.66474243,0.50982291
12.8062,8.0000,8.0000,8.0000,9.4340,0.55296941,0.46602224,0.50642571,0.50579216,0.61876817,0.48383671
13.4536,9.0000,9.0000,9.0000,10.2956,0.51796177,0.43250117,0.46312162,0.47403688,0.57605433,0.45932266
14.1421,10.0000,10.0000,10.0000,11.1803,0.48547702,0.40116290,0.42425914,0.44663269,0.53672147,0.43637361
14.8661,11.0000,11.0000,11.0000,12.0830,0.45558784,0.37219975,0.38959142,0.42267150,0.50069494,0.41498215
15.6205,12.0000,12.0000,12.0000,13.0000,0.42822569,0.34563719,0.35874907,0.40148575,0.46779581,0.39508602
16.4012,13.0000,13.0000,13.0000,13.9284,0.40324394,0.32139630,0.33132373,0.38257406,0.43779610,0.37659560
17.2047,14.0000,14.0000,14.0000,14.8661,0.38045887,0.29933856,0.30691364,0.36555240,0.41045111,0.35941002
18.0278,15.0000,15.0000,15.0000,15.8114,0.35967493,0.27929614,0.28514623,0.35012146,0.38551793,0.34342648
18.8680,16.0000,16.0000,16.0000,16.7631,0.34069937,0.26109150,0.26568721,0.33604426,0.36276537,0.32854537
19.7231,17.0000,17.0000,17.0000,17.7200,0.32335023,0.24454927,0.24824244,0.32313054,0.34197886,0.31467291
20.5913,18.0000,18.0000,18.0000,18.6815,0.30746012,0.22950308,0.23255609,0.31122562,0.32296232,0.30172235
21.4709,19.0000,19.0000,19.0000,19.6469,0.29287753,0.21579903,0.21840706,0.30020232,0.30553841,0.28961428
22.3607,20.0000,20.0000,20.0000,20.6155,0.27946670,0.20329710,0.20560495,0.28995497,0.28954770,0.27827653
23.2594,21.0000,21.0000,21.0000,21.5870,0.26710680,0.19187124,0.19398593,0.28039498,0.27484746,0.26764375
24.1661,22.0000,22.0000,22.0000,22.5610,0.25569063,0.18140880,0.18340908,0.27144747,0.26131023,0.25765691
25.0799,23.0000,23.0000,23.0000,23.5372,0.24512335,0.17180958,0.17375295,0.26304862,0.24882233,0.24826274
26.0000,24.0000,24.0000,24.0000,24.5153,0.23532104,0.16298472,0.16491274,0.25514366,0.23728241,0.23941320
26.9258,25.0000,25.0000,25.0000,25.4951,0.22620948,0.15485548,0.15679779,0.24768531,0.22660011,0.23106493
27.8568,26.0000,26.0000,26.0000,26.4764,0.21772298,0.14735217,0.14932945,0.24063247,0.21669483,0.22317874
28.7924,27.0000,27.0000,27.0000,27.4591,0.20980328,0.14041309,0.14243933,0.23394925,0.20749461,0.21571924
29.7321,28.0000,28.0000,28.0000,28.4429,0.20239870,0.13398357,0.13606775,0.22760412,0.19893515,0.20865437
30.6757,29.0000,29.0000,29.0000,29.4279,0.19546324,0.12801513,0.13016252,0.22156927,0.19095892,0.20195505
31.6228,30.0000,30.0000,30.0000,30.4138,0.18895595,0.12246473,0.12467782,0.21582005,0.18351438,0.19559490
32.5730,31.0000,31.0000,31.0000,31.4006,0.18284025,0.11729405,0.11957337,0.21033452,0.17655531,0.18954992
33.5261,32.0000,32.0000,32.0000,32.3883,0.17708343,0.11246900,0.11481357,0.20509308,0.17004017,0.18379825
34.4819,33.0000,33.0000,33.0000,33.3766,0.17165614,0.10795913,0.11036697,0.20007815,0.16393161,0.17831995
