Magnitude - Distance (km) Spectra Total Standard Deviations Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,5.0,rhypo,11.1803398875,rx,5.0,rjb,5.0,repi,5.0,rrup,7.07106781187
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.95,0.75256146,0.90834895,0.78349786,0.64664340,0.66944429,0.73935965
1.0,0.74897094,0.91161875,0.78492431,0.64700000,0.67130678,0.73884572
1.1,0.74338720,0.91425076,0.78905881,0.65452204,0.67310074,0.73516935
1.2,0.74090322,0.91672729,0.79790619,0.66138913,0.67477768,0.73193496
1.3,0.73781560,0.91906710,0.79812968,0.66770624,0.67635300,0.73059235
1.4,0.74225390,0.92128566,0.80732049,0.67355496,0.67783918,0.73085724
1.5,0.73592525,0.92339591,0.81089640,0.67900000,0.67924642,0.73111695
1.6,0.73578980,0.91962210,0.81474347,0.68371113,0.68234279,0.72999431
1.7,0.74355921,0.91608030,0.81291606,0.68813657,0.68528534,0.72897301
1.8,0.74733981,0.91274382,0.81361036,0.69230897,0.68808880,0.72803975
1.9,0.74901635,0.90959032,0.81743367,0.69625573,0.69076617,0.72718353
