Magnitude - Distance Spectra (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,5.0,rhypo,11.1803398875,rx,5.0,rjb,5.0,repi,5.0,rrup,7.07106781187
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.32,0.05192416,0.02481553,0.03131688,0.04869235,0.05714496,0.04176508
0.34,0.04777119,0.02275372,0.02899938,0.04610038,0.05345927,0.03924744
0.36,0.04398206,0.02095084,0.02723792,0.04378297,0.05012431,0.03702143
0.38,0.04051495,0.01936573,0.02555430,0.04170150,0.04709360,0.03503967
0.4,0.03747654,0.01796236,0.02406954,0.03981827,0.04432876,0.03326449
0.42,0.03447060,0.01668524,0.02256995,0.03714889,0.04149132,0.03103742
0.44,0.03182848,0.01555132,0.02118466,0.03477049,0.03891317,0.02906381
0.46,0.02932125,0.01453915,0.01993097,0.03264021,0.03656270,0.02730549
0.48,0.02695038,0.01362402,0.01877584,0.03070675,0.03441316,0.02573135
0.5,0.02485510,0.01279987,0.01773332,0.02895990,0.03244176,0.02431587
0.55,0.02106594,0.01075992,0.01523276,0.02499156,0.02808366,0.02087603
0.6,0.01809268,0.00918079,0.01333653,0.02184546,0.02452497,0.01822800
0.65,0.01532967,0.00793850,0.01167546,0.01931767,0.02158025,0.01615159
0.7,0.01322645,0.00693765,0.01032715,0.01723880,0.01911561,0.01443996
0.75,0.01134789,0.00611884,0.00917163,0.01550500,0.01703211,0.01287522
0.8,0.01005473,0.00547585,0.00834817,0.01411732,0.01527351,0.01156572
0.85,0.00887338,0.00493294,0.00756481,0.01292711,0.01376389,0.01050514
0.9,0.00789470,0.00446919,0.00682936,0.01189482,0.01245860,0.00959493
0.95,0.00700137,0.00407034,0.00622813,0.01099431,0.01132258,0.00864437
1.0,0.00630916,0.00372460,0.00571487,0.01020309,0.01032799,0.00782974
1.1,0.00523374,0.00304378,0.00483405,0.00870407,0.00867038,0.00649924
1.2,0.00444532,0.00253136,0.00418315,0.00752873,0.00737239,0.00548253
1.3,0.00399762,0.00213640,0.00364156,0.00658819,0.00633775,0.00474019
1.4,0.00347120,0.00182581,0.00319376,0.00582247,0.00550034,0.00418719
1.5,0.00303990,0.00157733,0.00283268,0.00518982,0.00481350,0.00373050
1.6,0.00272268,0.00140530,0.00251817,0.00454222,0.00419515,0.00330894
1.7,0.00251992,0.00126081,0.00227710,0.00400770,0.00368340,0.00295660
1.8,0.00230413,0.00113819,0.00205623,0.00356148,0.00325557,0.00265896
1.9,0.00211070,0.00103318,0.00187099,0.00318521,0.00289464,0.00240514
2.0,0.00196356,0.00094251,0.00168831,0.00286506,0.00258766,0.00218684
3.0,0.00107766,-999.000,0.00074109,0.00108735,0.00102726,0.00103857
4.0,0.00019526,-999.000,0.00043466,0.00054021,0.00051607,0.00064573
5.0,-999.000,-999.000,-999.000,0.00029352,0.00029603,0.00051583
7.5,-999.000,-999.000,-999.000,0.00011803,0.00009756,-999.000
10.0,-999.000,-999.000,-999.000,0.00004157,0.00003947,-999.000
====================================================
Magnitude,5.0,rhypo,50.9901951359,rx,50.0,rjb,50.0,repi,50.0,rrup,50.2493781056
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.05,0.01395091,0.00551100,0.00858993,0.01886007,0.01274455,0.01644283
0.075,0.01743604,0.00745105,0.01100243,0.02608027,0.01548607,0.02227641
0.1,0.02042483,0.00977812,0.01180648,0.03115726,0.01775845,0.02762160
0.11,0.02169326,0.00990099,0.01201932,0.03193769,0.01831345,0.02742244
0.12,0.02291997,0.01001454,0.01217569,0.03266722,0.01882608,0.02724238
0.13,0.02410967,0.01011872,0.01215913,0.03334824,0.01930171,0.02707818
0.14,0.02526620,0.01021616,0.01208070,0.03399142,0.01974471,0.02692734
0.15,0.02639277,0.01030774,0.01193245,0.03460133,0.02015866,0.02678792
0.16,0.02613011,0.01061707,0.01179303,0.03426639,0.02006534,0.02589935
0.17,0.02588568,0.01091614,0.01161758,0.03395475,0.01996722,0.02509309
0.18,0.02565727,0.01120445,0.01135685,0.03365929,0.01986497,0.02435718
0.19,0.02544301,0.01148421,0.01104251,0.03338221,0.01975920,0.02368193
0.2,0.02524135,0.01175611,0.01083551,0.03312149,0.01965041,0.02305944
0.22,0.02373396,0.01055263,0.01042925,0.03093535,0.01896375,0.02159624
0.24,0.02243316,0.00955383,0.00995526,0.02906583,0.01832283,0.02034369
0.26,0.02107199,0.00892744,0.00937701,0.02753043,0.01757651,0.01899840
0.28,0.01968148,0.00857694,0.00882572,0.02624447,0.01674803,0.01760156
0.3,0.01846847,0.00826294,0.00838840,0.02510135,0.01598320,0.01639335
0.32,0.01704670,0.00778462,0.00801957,0.02350412,0.01506169,0.01540881
0.34,0.01581079,0.00735928,0.00760194,0.02209644,0.01422076,0.01453940
0.36,0.01458872,0.00697852,0.00724224,0.02084654,0.01345018,0.01376598
0.38,0.01339558,0.00663620,0.00689318,0.01973099,0.01274154,0.01307345
0.4,0.01235385,0.00632627,0.00656479,0.01872790,0.01208775,0.01244972
0.42,0.01133378,0.00590681,0.00621328,0.01743718,0.01138965,0.01166571
0.44,0.01043967,0.00553273,0.00588843,0.01628945,0.01075006,0.01096593
0.46,0.00961071,0.00519739,0.00557635,0.01526340,0.01016235,0.01033813
0.48,0.00884218,0.00489276,0.00529169,0.01433406,0.00962080,0.00977228
0.5,0.00816273,0.00461732,0.00503309,0.01349588,0.00912054,0.00926008
0.55,0.00702026,0.00402111,0.00441972,0.01165000,0.00798059,0.00800145
0.6,0.00629739,0.00354416,0.00396820,0.01018620,0.00703813,0.00701295
0.65,0.00554149,0.00315795,0.00356745,0.00900982,0.00624938,0.00622576
0.7,0.00483477,0.00283792,0.00321544,0.00804213,0.00558231,0.00557582
0.75,0.00416315,0.00256915,0.00292461,0.00723490,0.00501293,0.00497975
0.8,0.00371897,0.00232800,0.00269687,0.00653549,0.00452250,0.00448005
0.85,0.00327025,0.00212209,0.00247436,0.00594021,0.00409864,0.00407579
0.9,0.00292586,0.00194428,0.00226311,0.00542773,0.00372982,0.00372819
0.95,0.00257273,0.00178978,0.00208642,0.00498372,0.00340690,0.00336572
1.0,0.00231044,0.00165455,0.00192822,0.00459611,0.00312258,0.00305446
1.1,0.00196485,0.00136008,0.00166148,0.00393106,0.00263997,0.00253715
1.2,0.00170198,0.00113725,0.00146122,0.00340832,0.00225926,0.00214170
1.3,0.00155013,0.00096464,0.00129331,0.00298905,0.00195374,0.00185052
1.4,0.00134055,0.00082827,0.00114426,0.00264700,0.00170492,0.00163163
