Distance (km) Total Standard Deviations Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,6.50
PGA
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
50.0100,49.0000,49.0000,49.0000,49.2544,0.64851429,0.83221571,0.71210534,0.56400000,0.55997939,0.67574033
50.9902,50.0000,50.0000,50.0000,50.2494,0.64851429,0.83221571,0.71210534,0.56400000,0.55999075,0.67574033
51.9711,51.0000,51.0000,51.0000,51.2445,0.64851429,0.83221571,0.71210534,0.56400000,0.56000179,0.67574033
52.9528,52.0000,52.0000,52.0000,52.2398,0.64851429,0.83221571,0.71210534,0.56400000,0.56001251,0.67574033
53.9351,53.0000,53.0000,53.0000,53.2353,0.64851429,0.83221571,0.71210534,0.56400000,0.56002294,0.67574033
54.9181,54.0000,54.0000,54.0000,54.2310,0.64851429,0.83221571,0.71210534,0.56400000,0.56003309,0.67574033
55.9017,55.0000,55.0000,55.0000,55.2268,0.64851429,0.83221571,0.71210534,0.56400000,0.56004297,0.67574033
56.8859,56.0000,56.0000,56.0000,56.2228,0.64851429,0.83221571,0.71210534,0.56400000,0.56005258,0.67574033
57.8705,57.0000,57.0000,57.0000,57.2189,0.64851429,0.83221571,0.71210534,0.56400000,0.56006195,0.67574033
58.8558,58.0000,58.0000,58.0000,58.2151,0.64851429,0.83221571,0.71210534,0.56400000,0.56007107,0.67574033
59.8415,59.0000,59.0000,59.0000,59.2115,0.64851429,0.83221571,0.71210534,0.56400000,0.56007996,0.67574033
60.8276,60.0000,60.0000,60.0000,60.2080,0.64851429,0.83221571,0.71210534,0.56400000,0.56008863,0.67574033
61.8142,61.0000,61.0000,61.0000,61.2046,0.64851429,0.83221571,0.71210534,0.56400000,0.56009709,0.67574033
62.8013,62.0000,62.0000,62.0000,62.2013,0.64851429,0.83221571,0.71210534,0.56400000,0.56010534,0.67574033
63.7887,63.0000,63.0000,63.0000,63.1981,0.64851429,0.83221571,0.71210534,0.56400000,0.56011340,0.67574033
64.7765,64.0000,64.0000,64.0000,64.1950,0.64851429,0.83221571,0.71210534,0.56400000,0.56012127,0.67574033
65.7647,65.0000,65.0000,65.0000,65.1920,0.64851429,0.83221571,0.71210534,0.56400000,0.56012895,0.67574033
66.7533,66.0000,66.0000,66.0000,66.1891,0.64851429,0.83221571,0.71210534,0.56400000,0.56013646,0.67574033
67.7422,67.0000,67.0000,67.0000,67.1863,0.64851429,0.83221571,0.71210534,0.56400000,0.56014380,0.67574033
68.7314,68.0000,68.0000,68.0000,68.1836,0.64851429,0.83221571,0.71210534,0.56400000,0.56015097,0.67574033
69.7209,69.0000,69.0000,69.0000,69.1809,0.64851429,0.83221571,0.71210534,0.56400000,0.56015799,0.67574033
70.7107,70.0000,70.0000,70.0000,70.1783,0.64851429,0.83221571,0.71210534,0.56400000,0.56016486,0.67574033
71.7008,71.0000,71.0000,71.0000,71.1758,0.64851429,0.83221571,0.71210534,0.56400000,0.56017158,0.67574033
72.6911,72.0000,72.0000,72.0000,72.1734,0.64851429,0.83221571,0.71210534,0.56400000,0.56017816,0.67574033
73.6817,73.0000,73.0000,73.0000,73.1710,0.64851429,0.83221571,0.71210534,0.56400000,0.56018460,0.67574033
74.6726,74.0000,74.0000,74.0000,74.1687,0.64851429,0.83221571,0.71210534,0.56400000,0.56019091,0.67574033
