Magnitude IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Distances,rx,15.0,rjb,15.0,rrup,16.0
PGA
Magnitude,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
Magnitude,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
4.5,0.00255686,0.00143158,0.00316504,0.00553351,0.00483672,0.00425995
4.6,0.00330621,0.00184648,0.00380794,0.00659947,0.00616286,0.00508573
4.7,0.00424001,0.00236484,0.00456831,0.00784209,0.00777204,0.00605915
4.8,0.00539282,0.00300736,0.00546481,0.00928472,0.00969740,0.00720391
4.9,0.00680264,0.00379751,0.00651851,0.01095268,0.01196862,0.00854689
5.0,0.00851043,0.00476147,0.00775311,0.01287318,0.01461041,0.01011852
5.1,0.01055936,0.00592803,0.00919512,0.01507529,0.01764137,0.01195303
5.2,0.01299379,0.00732838,0.01087408,0.01758974,0.02107339,0.01408877
5.3,0.01585795,0.00899567,0.01282278,0.02044879,0.02491172,0.01656844
5.4,0.01919421,0.01096447,0.01507737,0.02368591,0.02915552,0.01943936
5.5,0.02304125,0.01326996,0.01767759,0.02733547,0.03379896,0.02275359
5.6,0.02743180,0.01594703,0.02066686,0.03143239,0.03883254,0.02656799
5.7,0.03239029,0.01902910,0.02409239,0.03601160,0.04424454,0.03094422
5.8,0.03793043,0.02254680,0.02800524,0.04110756,0.05002235,0.03594855
5.9,0.04405276,0.02652647,0.03246032,0.04675361,0.05615365,0.04165144
6.0,0.05074238,0.03098863,0.03751633,0.05298133,0.06262726,0.04812700
6.1,0.05796703,0.03594623,0.04323563,0.05981977,0.06943375,0.05545214
6.2,0.06567553,0.04140306,0.04968409,0.06729469,0.07656573,0.06370541
6.3,0.07379697,0.04735216,0.05693074,0.07542775,0.08401795,0.07296554
6.4,0.08224053,0.05377435,0.06504746,0.08423560,0.09178717,0.08330960
